depth	PO4 [mmol/m3]
0	0.23468301
-10	0.21581892
-20	0.16063546
-25	0.37238697
-30	0.30411667
-35	0.17916496
-40	0.18041033
-45	0.37238697
-50	0.27291942
-55	0.38644401
-60	0.97188295
-70	5.15618016
-80	11.85851587
-90	21.43045404
-100	28.20634645
-110	35.04945555
-120	36.69670538
-130	40.34503819
-140	41.18938490
-160	42.19327394
-180	43.05903873
-200	60.27332760
-220	63.60652170
-240	63.68673687
-250	63.14830617
-260	125.63044553
-270	149.74185676
-280	155.33253776
-300	158.56984637
-320	176.24471275
-340	182.17357229
-360	182.12347862
-380	182.88263048
-420	189.96506774
-440	184.30650931
-485	185.00000000
