Depth [m]    Area [m^2] (blended from Lahmeyer and Osae, 1998 and Ross et al., 2015)
1		2385888805
0		2385888805
-5		2371171076
-10		2351756992
-15		2284961741
-20		2255042507
-25		2216325205
-30		2189635318
-35		2162046885
-40		2117899925
-45		2037195479
-50		2013941251
-55		1991103702
-60		1966418076
-65		1942412781
-70		1919887661
-75		1897888576
-80		1874108621
-85		1849907758
-90		1825859089
-95		1802489099
-100	1771204950
-105	1743035768
-110	1719886052
-115	1697270813
-120	1671523971
-125	1646565245
-130	1625763731
-135	1604193348
-140	1579797182
-145	1554424394
-150	1532535810
-155	1510185420
-160	1485266711
-165	1460645363
-170	1439835757
-175	1418407706
-180	1391542823
-185	1358978085
-190	1336717446
-195	1314714948
-200	1286029565
-205	1259680570
-210	1239084933
-215	1219490584
-220	1198381072
-225	1181871299
-230	1165820299
-235	1148644468
-240	1130937768
-245	1113035193
-250	1094807101
-255	1076385379
-260	1058021044
-265	1039819341
-270	1021860999
-275	1003956730
-280	984454420
-285	965442305
-290	946981673
-295	926900155
-300	905093983
-305	884048940
-310	862958082
-315	841663076
-320	817757921
-325	793111977
-330	771764091
-335	749366897
-340	717846522
-345	674556613
-350	648583763
-355	622963212
-360	592636928
-365	553582219
-370	519631614
-375	489040994
-380	459634130
-385	428886636
-390	408869978
-395	387298239
-400	365054367
-405	333963170
-410	314258352
-415	296903744
-420	277802139
-425	250249886
-430	226456436
-435	209825474
-440	190277315
-445	158495137
-450	131598236
-455	112705394
-460	84539888
-465	61101537
-470	27004058
-475	11844254
-480	3621423
-485	0
