Time [d] 	u [m/s]	v [m/s]	Tair [?C]	sol [W m-2]	vap [mbar]	Longwave [W m-2]
30315	-0.2844	-0.6198	21.6	235.24	20.45	376.89
30316	1.6194	-0.0893	19.64	127.76	19.82	371.84
30317	1.1846	-0.2579	19.47	139.54	19.51	370.9
30318	1.2778	-0.0674	20.94	253.07	19.72	364.29
30319	0.5578	-0.4098	19.87	150.27	19.69	367.8
30320	1.1117	-0.8679	20.68	194.74	20.09	375.69
30321	1.9751	-1.6313	18.97	130.11	18.9	369.72
30322	0.6668	-0.3313	18.67	130.3	18.36	365.82
30323	-0.0388	-0.3423	19.57	128.06	19.23	367.52
30324	0.5702	-0.4507	20.18	139.7	19.89	372.27
30325	0.7227	-0.0607	20.3	211.75	19.79	366.06
30326	0.7938	0.013	20.45	202.88	19.46	360.92
30327	0.9906	-0.1639	20.38	221.08	20.17	366.24
30328	0.2195	-1.2288	21.16	229.17	20.81	367
30329	-0.0308	-0.8486	21.42	198.23	20.71	373.94
30330	-0.2549	-0.36	21.76	208.84	21.11	372.65
30331	0.6522	1.1109	20.03	204.16	19.99	362.62
30332	-0.8798	-0.343	22.08	253.19	21.13	372.94
30333	-0.8205	-0.6117	22.98	268.1	21.82	373.33
30334	-0.1177	-0.1817	21.17	196.1	20.55	360.64
30335	-1.2885	0.3538	20.98	219.27	20.59	364.78
30336	-0.8236	-0.111	20.51	185.48	20.42	364.23
30337	-0.882	-0.9231	19.36	100.23	19.33	367.34
30338	-0.1922	0.3214	19.07	120.06	19.16	369.03
30339	-0.8029	0.0312	20.04	172.35	19.61	372.49
30340	-0.4831	0.2148	21.35	238.83	20.71	375.89
30341	-0.4412	-0.3239	22.93	273.19	20.89	371.12
30342	1.2859	-0.2001	21.76	216.44	20.58	374.73
30343	1.4711	0.2167	20.48	204.38	19.96	370.39
30344	1.455	1.2678	20.39	209.09	19.64	370.32
30345	-0.0728	0.4436	20.19	211.75	19.97	362.67
30346	-1.0741	-0.4116	19.52	171.52	19.32	363.06
30347	-0.5831	-0.8634	18.9	150.47	18.53	369.29
30348	-0.4824	-0.9224	19.41	164.07	18.81	373.12
30349	0.7149	0.087	19.78	186.82	18.94	361.37
30350	0.8934	-0.8552	20.09	193.32	19.43	371.95
30351	0.2658	-0.2347	19.61	181.88	19	361.99
30352	-0.0185	-0.1828	19.72	175.97	19.5	367.51
30353	-1.8452	-0.2578	20.49	240.3	19.8	365.93
30354	-1.2106	-0.3767	21.94	269.39	20.45	369.03
30355	0.0006	-0.5433	23.15	250.46	21.71	373.7
30356	0.0092	0.108	22.63	265.42	21.77	368.29
30357	0.4071	0.319	21.66	188.11	21.21	377.23
30358	-1.231	-0.0625	21.97	247.48	21.18	368.08
30359	0.7051	0.3597	20.83	138.46	20.54	373.97
30360	-0.1933	-0.4825	21.93	233.89	21.03	377.99
30361	1.4193	0.0092	21.17	173.59	20.72	375.59
30362	0.6232	0.6384	19.7	152.15	19.71	372.14
30363	0.0191	-0.3319	20.81	147.32	20.06	369.04
30364	-0.8888	0.693	21.04	243.16	20.16	355.4
30365	-1.001	-0.4923	21.84	247.65	20.09	364.09
30366	-2.5169	-1.089	24.02	301.68	21.94	365.63
30367	-1.3067	-0.7952	23.98	295.22	21.73	362.04
30368	-1.4788	0.1075	23.17	273.03	20.64	351.5
30369	-3.4341	0.1035	23.32	300.5	19.78	343.75
30370	-2.4495	0.0736	23.75	322.91	20.33	344.1
30371	-1.304	0.0433	22.11	185.4	20.08	359.46
30372	-1.6915	0.1378	23.35	280.93	21.43	357.23
30373	-0.6	-0.5829	23.55	284.56	21.79	364.48
30374	0.0704	0.5073	23.51	213.43	22.44	381.03
30375	1.1366	-0.4535	23.11	228.26	21.55	375.88
30376	0.5653	1.1575	22.08	201.97	21.03	371.61
30377	0.8229	-1.1713	21.15	187.11	20.82	374.28
30378	-0.6621	-1.856	23.56	278.89	21.94	376.58
30379	0.2239	-0.5096	20.5	116.38	20.57	380.33
30380	0.1588	0.5478	22.75	250.64	21.41	378.09
30381	0.5401	-0.611	20.49	174.96	20.21	380.71
30382	1.2447	0.3992	20.29	172.34	19.99	376.93
30383	1.686	-0.6625	20.58	194.63	20.17	378.99
30384	0.2323	-0.9174	20.71	182.92	19.99	379.28
30385	-0.8163	0.9339	20.22	178.23	20.05	374.56
30386	-1.0274	0.0556	21.74	223.19	20.81	380.77
30387	-0.6353	0.4188	20.39	153.02	20.28	379.14
30388	-2.0526	1.1345	22	256.38	20.73	371.2
30389	-1.7206	0.5076	21.33	143.45	20.46	383.51
30390	1.1436	0.1567	19.89	158.89	19.83	376.83
30391	0.196	1.3791	19.7	162.72	19.43	374.41
30392	-0.0681	0.2747	19.38	132.73	19.37	377.21
30393	-0.8263	1.1695	19.11	159.42	19.02	373.49
30394	-0.9563	-0.239	20.67	174.22	20.07	382.67
30395	0.0191	-0.0011	19.26	132.71	19.29	373.56
30396	-0.5154	-0.435	21.04	223.03	20.52	376.44
30397	1.0503	0.1728	19.64	134.93	19.65	376.9
30398	-0.3014	-0.072	20.96	171.79	20.38	382.48
30399	0.3251	-0.4818	19.93	163.52	19.92	374.7
30400	-0.1138	-0.5001	20.65	177.88	20.28	380.44
30401	1.2328	0.0508	20.23	175.89	20.18	375.7
30402	0.4117	0.5215	20.95	200.96	20.59	376.1
30403	-0.4203	0.3373	21.01	187.29	20.59	376.08
30404	-0.1015	0.4542	19.75	170.58	19.44	372.22
30405	-1.5893	0.1286	21.65	240.8	20.62	375.42
30406	-0.6669	-0.0735	19.72	151.15	19.49	369.65
30407	-0.3001	-0.0394	19.44	137.58	19.26	372.76
30408	0.2305	0.6366	19.01	116.12	18.94	372.3
30409	-0.9756	1.2847	20.05	206.14	19.44	370.56
30410	-0.5078	0.7439	20.4	180.18	19.89	370.36
30411	-0.5889	1.1642	19.5	169.41	19.36	364.69
30412	-0.6712	1.3275	20.38	240.87	19.67	366.35
30413	-1.4272	0.6806	20.58	222.18	20.11	369.83
30414	-0.0913	0.7414	21.2	232.14	20.6	373.65
30415	-1.9449	0.664	20.77	202.37	20.08	364.04
30416	-3.0326	0.4349	21.23	230.39	20.21	362.83
30417	-2.6229	0.3593	20.41	214.19	19.28	356.52
30418	-2.3735	0.5224	21.01	285.08	18.8	348.63
30419	-1.9415	0.0654	21.49	292.49	19.01	346.35
