depth	dic
0.0	12892
-0.5	12894
-1.0	12892
-1.5	12929
-2.0	12961
-2.5	12963
-3.0	12973
-3.5	12983
-4.0	12996
-4.5	12999
-5.0	13006
-5.5	13005
-6.0	13006
-6.5	13009
-7.0	13014
-7.5	13007
-8.0	13011
-8.5	13002
-9.0	13003
-9.5	13017
-10.0	13024
-10.5	13026
-11.0	13023
-11.5	13028
-12.0	13027
-12.5	13028
-13.0	13036
-13.5	13028
-14.0	13025
-14.5	13031
-15.0	13034
-15.5	13038
-16.0	13045
-16.5	13042
-17.0	13044
-17.5	13043
-18.0	13036
-18.5	13037
-19.0	13032
-19.5	13045
-20.0	13050
-20.5	13058
-21.0	13067
-21.5	13071
-22.0	13076
-22.5	13096
-23.0	13115
-23.5	13122
-24.0	13131
-24.5	13157
-25.0	13176
-25.5	13186
-26.0	13190
-26.5	13208
-27.0	13218
-27.5	13236
-28.0	13256
-28.5	13260
-29.0	13275
-29.5	13275
-30.0	13269
-30.5	13299
-31.0	13336
-31.5	13355
-32.0	13370
-32.5	13370
-33.0	13373
-33.5	13413
-34.0	13448
-34.5	13481
-35.0	13515
-35.5	13532
-36.0	13553
-36.5	13581
-37.0	13612
-37.5	13605
-38.0	13599
-38.5	13604
-39.0	13603
-39.5	13595
-40.0	13599
-40.5	13624
-41.0	13644
-41.5	13661
-42.0	13680
-42.5	13676
-43.0	13668
-43.5	13692
-44.0	13718
-44.5	13734
-45.0	13748
-45.5	13774
-46.0	13803
-46.5	13851
-47.0	13901
-47.5	13920
-48.0	13941
-48.5	13977
-49.0	14014
-49.5	14040
-50.0	14060
-50.5	14089
-51.0	14122
-51.5	14166
-52.0	14208
-52.5	14269
-53.0	14322
-53.5	14357
-54.0	14396
-54.5	14426
-55.0	14463
-55.5	14565
-56.0	14665
-56.5	14784
-57.0	14881
-57.5	14983
-58.0	15088
-58.5	15211
-59.0	15336
-59.5	15455
-60.0	15600
-60.5	15656
-61.0	15714
-61.5	15874
-62.0	16018
-62.5	16115
-63.0	16243
-63.5	16345
-64.0	16470
-64.5	16558
-65.0	16654
-65.5	16774
-66.0	16882
-66.5	17069
-67.0	17250
-67.5	17425
-68.0	17604
-68.5	17776
-69.0	17978
-69.5	18134
-70.0	18282
-70.5	18505
-71.0	18727
-71.5	18990
-72.0	19254
-72.5	19479
-73.0	19711
-73.5	19987
-74.0	20264
-74.5	20511
-75.0	20786
-75.5	21081
-76.0	21353
-76.5	21650
-77.0	21970
-77.5	22273
-78.0	22556
-78.5	22799
-79.0	23065
-79.5	23411
-80.0	23741
-80.5	24046
-81.0	24373
-81.5	24779
-82.0	25117
-82.5	25412
-83.0	25716
-83.5	25995
-84.0	26289
-84.5	26598
-85.0	26917
-85.5	27298
-86.0	27639
-86.5	27913
-87.0	28199
-87.5	28474
-88.0	28729
-88.5	28947
-89.0	29139
-89.5	29353
-90.0	29567
-90.5	29807
-91.0	30096
-91.5	30387
-92.0	30595
-92.5	30779
-93.0	30988
-93.5	31141
-94.0	31279
-94.5	31444
-95.0	31593
-95.5	31763
-96.0	31989
-96.5	32304
-97.0	32553
-97.5	32727
-98.0	32870
-98.5	33019
-99.0	33190
-99.5	33382
-100.0	33608
-100.5	33868
-101.0	34154
-101.5	34356
-102.0	34526
-102.5	34677
-103.0	34909
-103.5	35103
-104.0	35311
-104.5	35505
-105.0	35693
-105.5	35881
-106.0	36006
-106.5	36163
-107.0	36350
-107.5	36505
-108.0	36653
-108.5	36806
-109.0	36970
-109.5	37111
-110.0	37251
-110.5	37408
-111.0	37569
-111.5	37720
-112.0	37882
-112.5	38060
-113.0	38290
-113.5	38469
-114.0	38643
-114.5	38865
-115.0	39127
-115.5	39303
-116.0	39455
-116.5	39579
-117.0	39715
-117.5	39851
-118.0	39991
-118.5	40178
-119.0	40352
-119.5	40485
-120.0	40629
-120.5	40811
-121.0	40980
-121.5	41162
-122.0	41380
-122.5	41612
-123.0	41834
-123.5	41999
-124.0	42158
-124.5	42333
-125.0	42505
-125.5	42608
-126.0	42698
-126.5	42799
-127.0	42885
-127.5	42954
-128.0	43019
-128.5	43088
-129.0	43170
-129.5	43232
-130.0	43295
-130.5	43376
-131.0	43467
-131.5	43559
-132.0	43628
-132.5	43681
-133.0	43734
-133.5	43789
-134.0	43840
-134.5	43867
-135.0	43895
-135.5	43942
-136.0	43992
-136.5	44044
-137.0	44089
-137.5	44146
-138.0	44214
-138.5	44279
-139.0	44348
-139.5	44411
-140.0	44462
-140.5	44520
-141.0	44580
-141.5	44626
-142.0	44658
-142.5	44675
-143.0	44692
-143.5	44712
-144.0	44735
-144.5	44779
-145.0	44820
-145.5	44844
-146.0	44869
-146.5	44894
-147.0	44912
-147.5	44951
-148.0	45012
-148.5	45045
-149.0	45076
-149.5	45082
-150.0	44220
-150.5	44242
-151.0	44285
-151.5	44355
-152.0	44389
-152.5	44412
-153.0	44441
-153.5	44494
-154.0	44560
-154.5	44569
-155.0	44567
-155.5	44630
-156.0	44681
-156.5	44717
-157.0	44762
-157.5	44811
-158.0	44873
-158.5	44917
-159.0	44945
-159.5	44983
-160.0	45007
-160.5	45068
-161.0	45159
-161.5	45152
-162.0	45135
-162.5	45187
-163.0	45236
-163.5	45287
-164.0	45339
-164.5	45389
-165.0	45419
-165.5	45446
-166.0	45488
-166.5	45541
-167.0	45611
-167.5	45666
-168.0	45695
-168.5	45762
-169.0	45856
-169.5	45908
-170.0	45943
-170.5	46022
-171.0	46110
-171.5	46189
-172.0	46259
-172.5	46312
-173.0	46393
-173.5	46497
-174.0	46627
-174.5	46774
-175.0	46902
-175.5	47020
-176.0	47070
-176.5	47131
-177.0	47199
-177.5	47253
-178.0	47316
-178.5	47454
-179.0	47649
-179.5	47817
-180.0	47952
-180.5	48032
-181.0	48105
-181.5	48251
-182.0	48409
-182.5	48627
-183.0	48870
-183.5	49189
-184.0	49392
-184.5	49513
-185.0	49749
-185.5	50016
-186.0	50321
-186.5	50620
-187.0	50877
-187.5	51114
-188.0	51333
-188.5	51633
-189.0	51975
-189.5	52269
-190.0	52558
-190.5	52794
-191.0	53107
-191.5	53539
-192.0	53729
-192.5	54129
-193.0	54513
-193.5	54826
-194.0	55139
-194.5	55451
-195.0	55760
-195.5	56056
-196.0	56352
-196.5	56530
-197.0	56709
-197.5	56937
-198.0	57173
-198.5	57379
-199.0	57583
-199.5	57817
-200.0	58064
-200.5	58219
-201.0	58356
-201.5	58503
-202.0	58668
-202.5	58754
-203.0	58806
-203.5	58905
-204.0	59062
-204.5	59136
-205.0	59146
-205.5	59230
-206.0	59346
-206.5	59445
-207.0	59554
-207.5	59600
-208.0	59607
-208.5	59645
-209.0	59703
-209.5	59754
-210.0	59798
-210.5	59837
-211.0	59873
-211.5	59914
-212.0	59961
-212.5	59996
-213.0	60025
-213.5	60048
-214.0	60061
-214.5	60074
-215.0	60077
-215.5	60092
-216.0	60128
-216.5	60146
-217.0	60140
-217.5	60128
-218.0	60103
-218.5	60119
-219.0	60157
-219.5	60143
-220.0	60138
-220.5	60195
-221.0	60217
-221.5	60208
-222.0	60187
-222.5	60192
-223.0	60213
-223.5	60237
-224.0	60249
-224.5	60246
-225.0	60264
-225.5	60298
-226.0	60322
-226.5	60329
-227.0	60312
-227.5	60314
-228.0	60324
-228.5	60344
-229.0	60374
-229.5	60404
-230.0	60411
-230.5	60438
-231.0	60476
-231.5	60524
-232.0	60568
-232.5	60600
-233.0	60651
-233.5	60718
-234.0	60746
-234.5	60755
-235.0	60791
-235.5	60843
-236.0	60860
-236.5	60869
-237.0	60914
-237.5	60963
-238.0	61021
-238.5	61085
-239.0	61167
-239.5	61211
-240.0	61209
-240.5	61285
-241.0	61390
-241.5	61423
-242.0	61465
-242.5	61518
-243.0	61732
-243.5	62009
-244.0	62273
-244.5	62532
-245.0	62767
-245.5	63098
-246.0	63511
-246.5	64002
-247.0	64511
-247.5	64978
-248.0	65439
-248.5	65842
-249.0	66265
-249.5	66771
-250.0	67258
-250.5	67664
-251.0	68081
-251.5	68646
-252.0	69221
-252.5	69947
-253.0	70673
-253.5	71699
-254.0	72746
-254.5	74246
-255.0	75967
-255.5	78661
-256.0	81447
-256.5	84396
-257.0	87379
-257.5	90584
-258.0	93988
-258.5	97571
-259.0	101269
-259.5	105022
-260.0	108065
-260.5	110097
-261.0	111948
-261.5	113395
-262.0	114812
-262.5	115997
-263.0	116986
-263.5	117652
-264.0	118328
-264.5	118983
-265.0	119639
-265.5	120251
-266.0	120845
-266.5	121247
-267.0	121640
-267.5	121963
-268.0	122285
-268.5	122479
-269.0	122669
-269.5	122771
-270.0	122860
-270.5	122966
-271.0	123078
-271.5	123220
-272.0	123366
-272.5	123475
-273.0	123573
-273.5	123672
-274.0	123774
-274.5	123869
-275.0	123968
-275.5	124033
-276.0	124057
-276.5	124137
-277.0	124278
-277.5	124360
-278.0	124394
-278.5	124460
-279.0	124545
-279.5	124588
-280.0	124619
-280.5	124676
-281.0	124738
-281.5	124807
-282.0	124844
-282.5	124834
-283.0	124853
-283.5	124894
-284.0	124942
-284.5	125051
-285.0	125128
-285.5	125151
-286.0	125172
-286.5	125240
-287.0	125341
-287.5	125370
-288.0	125429
-288.5	125479
-289.0	125493
-289.5	125554
-290.0	125634
-290.5	125645
-291.0	125665
-291.5	125719
-292.0	125783
-292.5	125847
-293.0	125885
-293.5	125918
-294.0	125969
-294.5	126034
-295.0	126073
-295.5	126115
-296.0	126193
-296.5	126269
-297.0	126345
-297.5	126451
-298.0	126584
-298.5	126688
-299.0	126772
-299.5	126896
-300.0	127051
-300.5	127202
-301.0	127339
-301.5	127459
-302.0	127540
-302.5	127673
-303.0	127861
-303.5	128052
-304.0	128247
-304.5	128480
-305.0	128671
-305.5	128913
-306.0	129271
-306.5	129579
-307.0	129835
-307.5	130216
-308.0	130655
-308.5	131052
-309.0	131440
-309.5	131847
-310.0	132265
-310.5	132768
-311.0	133321
-311.5	133997
-312.0	134752
-312.5	135509
-313.0	136019
-313.5	136451
-314.0	136928
-314.5	137353
-315.0	138004
-315.5	138728
-316.0	139309
-316.5	139820
-317.0	140345
-317.5	140823
-318.0	141292
-318.5	141833
-319.0	142386
-319.5	142898
-320.0	143407
-320.5	143757
-321.0	144057
-321.5	144271
-322.0	144465
-322.5	144718
-323.0	144958
-323.5	145152
-324.0	145431
-324.5	145607
-325.0	145685
-325.5	146053
-326.0	146202
-326.5	146432
-327.0	146721
-327.5	146993
-328.0	147258
-328.5	147485
-329.0	147820
-329.5	148027
-330.0	148251
-330.5	148409
-331.0	148480
-331.5	148668
-332.0	148812
-332.5	148913
-333.0	149102
-333.5	149228
-334.0	149357
-334.5	149494
-335.0	149571
-335.5	149692
-336.0	149858
-336.5	150054
-337.0	150189
-337.5	150324
-338.0	150348
-338.5	150493
-339.0	150627
-339.5	150651
-340.0	150786
-340.5	150876
-341.0	150916
-341.5	150959
-342.0	151086
-342.5	151139
-343.0	151079
-343.5	151062
-344.0	151150
-344.5	151231
-345.0	151272
-345.5	151356
-346.0	151387
-346.5	151370
-347.0	151371
-347.5	151430
-348.0	151470
-348.5	151468
-349.0	151472
-349.5	151525
-350.0	151618
-350.5	151698
-351.0	151764
-351.5	151798
-352.0	151817
-352.5	151849
-353.0	151876
-353.5	151894
-354.0	151911
-354.5	151883
-355.0	151828
-355.5	151873
-356.0	151924
-356.5	151961
-357.0	152024
-357.5	152093
-358.0	152188
-358.5	152242
-359.0	152239
-359.5	152298
-360.0	152318
-360.5	152281
-361.0	152363
-361.5	152408
-362.0	152408
-362.5	152440
-363.0	152453
-363.5	152443
-364.0	152438
-364.5	152444
-365.0	152460
-365.5	152442
-366.0	152402
-366.5	152434
-367.0	152468
-367.5	152492
-368.0	152480
-368.5	152452
-369.0	152509
-369.5	152570
-370.0	152643
-370.5	152741
-371.0	152841
-371.5	152911
-372.0	152997
-372.5	153113
-373.0	153217
-373.5	153304
-374.0	153372
-374.5	153429
-375.0	153487
-375.5	153593
-376.0	153685
-376.5	153733
-377.0	153755
-377.5	153782
-378.0	153910
-378.5	153943
-379.0	153995
-379.5	154193
-380.0	154309
-380.5	154360
-381.0	154390
-381.5	154453
-382.0	154543
-382.5	154673
-383.0	154843
-383.5	155087
-384.0	155302
-384.5	155351
-385.0	155409
-385.5	155471
-386.0	155598
-386.5	155712
-387.0	155729
-387.5	155895
-388.0	155970
-388.5	155984
-389.0	155984
-389.5	156082
-390.0	156200
-390.5	156311
-391.0	156420
-391.5	156546
-392.0	156685
-392.5	156835
-393.0	156971
-393.5	157067
-394.0	157184
-394.5	157325
-395.0	157347
-395.5	157402
-396.0	157521
-396.5	157545
-397.0	157649
-397.5	157823
-398.0	157926
-398.5	157984
-399.0	158032
-399.5	158096
-400.0	158169
-400.5	158244
-401.0	158315
-401.5	158339
-402.0	158350
-402.5	158403
-403.0	158498
-403.5	158607
-404.0	158655
-404.5	158822
-405.0	158892
-405.5	158968
-406.0	159021
-406.5	159028
-407.0	159049
-407.5	159112
-408.0	159016
-408.5	159111
-409.0	159107
-409.5	159098
-410.0	159128
-410.5	159070
-411.0	159069
-411.5	159156
-412.0	159239
-412.5	159290
-413.0	159380
-413.5	159363
-414.0	159352
-414.5	159410
-415.0	159388
-415.5	159453
-416.0	159440
-416.5	159444
-417.0	159499
-417.5	159486
-418.0	159485
-418.5	159489
-419.0	159482
-419.5	159487
-420.0	159519
-420.5	159515
-421.0	159563
-421.5	159546
-422.0	159579
-422.5	159546
-423.0	159648
-423.5	159492
-424.0	159563
-424.5	159556
-425.0	159535
-425.5	159490
-426.0	159600
-426.5	159575
-427.0	159570
-427.5	159547
-428.0	159561
-428.5	159527
-429.0	159500
-429.5	159520
-430.0	159634
-430.5	159670
-431.0	159633
-431.5	159676
-432.0	159653
-432.5	159723
-433.0	159757
-433.5	159814
-434.0	159856
-434.5	159847
-435.0	159961
-435.5	159939
-436.0	159951
-436.5	159984
-437.0	160060
-437.5	160082
-438.0	160176
-438.5	160348
-439.0	160394
-439.5	160465
-440.0	160415
-440.5	160457
-441.0	160528
-441.5	160600
-442.0	160624
-442.5	160743
-443.0	160731
-443.5	160686
-444.0	160721
-444.5	160756
-445.0	160805
-445.5	160800
-446.0	160832
-446.5	160998
-447.0	161001
-447.5	161011
-448.0	160991
-448.5	161002
-449.0	160990
-449.5	161031
-450.0	161060
-450.5	161123
-451.0	161161
-451.5	161151
-452.0	161136
-452.5	161168
-453.0	161172
-453.5	161212
-454.0	161252
-454.5	161259
-455.0	161314
-455.5	161293
-456.0	161309
-456.5	161282
-457.0	161291
-457.5	161282
-458.0	161287
-458.5	161294
-459.0	161294
-459.5	161277
-460.0	161269
-460.5	161324
-461.0	161334
-461.5	161329
-462.0	161326
-462.5	161337
-463.0	161364
-463.5	161406
-464.0	161424
-464.5	161416
-465.0	161374
-465.5	161415
-466.0	161412
-466.5	161396
-467.0	161437
-467.5	161406
-468.0	161411
-468.5	161404
-469.0	161403
-469.5	161408
-470.0	161399
-470.5	161427
-471.0	161437
-471.5	161432
-472.0	161443
-472.5	161462
-473.0	161482
-473.5	161466
-474.0	161482
-474.5	161552
-475.0	161554
-475.5	161583
-476.0	161555
-476.5	161588
-477.0	161525
-477.5	161536
-478.0	161610
-478.5	161608
-479.0	161655
-479.5	161655
-480.0	161655
-480.5	161655
