depth [m]	pH corrected
0	8.84
-1	9.07
-2	9.07
-3	9.07
-4	9.07
-5	9.07
-6	9.07
-7	9.07
-8	9.07
-9	9.07
-10	9.07
-11	9.07
-12	9.07
-13	9.07
-14	9.07
-15	9.07
-16	9.07
-17	9.07
-18	9.08
-19	9.08
-20	9.07
-21	9.05
-22	9.04
-23	9.04
-24	9.03
-25	9.00
-26	8.94
-27	8.92
-28	8.90
-29	8.88
-30	8.89
-31	8.90
-32	8.91
-33	8.91
-34	8.91
-35	8.91
-36	8.91
-37	8.91
-38	8.90
-39	8.90
-40	8.89
-41	8.90
-42	8.90
-43	8.90
-44	8.89
-45	8.89
-46	8.88
-47	8.87
-48	8.86
-49	8.84
-50	8.83
-51	8.83
-52	8.82
-53	8.82
-54	8.82
-55	8.81
-56	8.79
-57	8.78
-58	8.75
-59	8.72
-60	8.67
-61	8.61
-62	8.54
-63	8.42
-64	8.24
-65	8.04
-66	7.95
-67	7.91
-68	7.84
-69	7.80
-70	7.79
-71	7.74
-72	7.62
-73	7.55
-74	7.52
-75	7.47
-76	7.37
-77	7.33
-78	7.29
-79	7.24
-80	7.22
-81	7.20
-82	7.19
-83	7.17
-84	7.13
-85	7.09
-86	7.06
-87	7.04
-88	7.03
-89	7.02
-90	7.00
-91	6.98
-92	6.97
-93	6.96
-94	6.95
-95	6.94
-96	6.93
-97	6.92
-98	6.91
-99	6.91
-100	6.90
-101	6.89
-102	6.88
-103	6.87
-104	6.87
-105	6.86
-106	6.85
-107	6.84
-108	6.84
-109	6.84
-110	6.83
-111	6.83
-112	6.82
-113	6.81
-114	6.80
-115	6.79
-116	6.79
-117	6.79
-118	6.79
-119	6.78
-120	6.78
-121	6.78
-122	6.77
-123	6.77
-124	6.77
-125	6.77
-126	6.76
-127	6.76
-128	6.75
-129	6.75
-130	6.75
-131	6.75
-132	6.74
-133	6.74
-134	6.74
-135	6.74
-136	6.74
-137	6.74
-138	6.74
-139	6.73
-140	6.73
-141	6.73
-142	6.73
-143	6.73
-144	6.73
-145	6.73
-146	6.73
-147	6.72
-148	6.72
-149	6.72
-150	6.72
-151	6.72
-152	6.72
-153	6.71
-154	6.71
-155	6.71
-156	6.71
-157	6.71
-158	6.71
-159	6.71
-160	6.71
-161	6.70
-162	6.70
-163	6.70
-164	6.70
-165	6.70
-166	6.69
-167	6.69
-168	6.69
-169	6.69
-170	6.69
-171	6.69
-172	6.69
-173	6.68
-174	6.67
-175	6.67
-176	6.67
-177	6.66
-178	6.66
-179	6.66
-180	6.65
-181	6.65
-182	6.64
-183	6.63
-184	6.62
-185	6.61
-186	6.60
-187	6.59
-188	6.58
-189	6.56
-190	6.55
-191	6.54
-192	6.53
-193	6.52
-194	6.51
-195	6.51
-196	6.50
-197	6.50
-198	6.49
-199	6.48
-200	6.48
-201	6.48
-202	6.47
-203	6.47
-204	6.47
-205	6.47
-206	6.47
-207	6.47
-208	6.47
-209	6.47
-210	6.47
-211	6.47
-212	6.47
-213	6.47
-214	6.47
-215	6.47
-216	6.47
-217	6.47
-218	6.47
-219	6.47
-220	6.47
-221	6.47
-222	6.47
-223	6.47
-224	6.47
-225	6.47
-226	6.47
-227	6.47
-228	6.47
-229	6.47
-230	6.47
-231	6.47
-232	6.47
-233	6.47
-234	6.47
-235	6.46
-236	6.46
-237	6.46
-238	6.46
-239	6.46
-240	6.46
-241	6.46
-242	6.46
-243	6.46
-244	6.46
-245	6.46
-246	6.46
-247	6.46
-248	6.46
-249	6.46
-250	6.46
-251	6.45
-252	6.45
-253	6.45
-254	6.44
-255	6.41
-256	6.38
-257	6.34
-258	6.30
-259	6.27
-260	6.23
-261	6.21
-262	6.19
-263	6.18
-264	6.17
-265	6.17
-266	6.17
-267	6.16
-268	6.16
-269	6.16
-270	6.16
-271	6.16
-272	6.16
-273	6.16
-274	6.16
-275	6.16
-276	6.16
-277	6.16
-278	6.16
-279	6.16
-280	6.16
-281	6.16
-282	6.16
-283	6.16
-284	6.15
-285	6.15
-286	6.15
-287	6.15
-288	6.15
-289	6.15
-290	6.15
-291	6.15
-292	6.15
-293	6.15
-294	6.15
-295	6.15
-296	6.15
-297	6.15
-298	6.15
-299	6.15
-300	6.15
-301	6.15
-302	6.15
-303	6.15
-304	6.15
-305	6.15
-306	6.15
-307	6.15
-308	6.14
-309	6.14
-310	6.14
-311	6.13
-312	6.13
-313	6.12
-314	6.12
-315	6.11
-316	6.11
-317	6.11
-318	6.10
-319	6.10
-320	6.10
-321	6.09
-322	6.09
-323	6.09
-324	6.09
-325	6.08
-326	6.08
-327	6.08
-328	6.08
-329	6.08
-330	6.08
-331	6.08
-332	6.08
-333	6.08
-334	6.08
-335	6.08
-336	6.08
-337	6.08
-338	6.08
-339	6.08
-340	6.08
-341	6.08
-342	6.08
-343	6.08
-344	6.08
-345	6.08
-346	6.08
-347	6.08
-348	6.08
-349	6.08
-350	6.08
-351	6.07
-352	6.07
-353	6.07
-354	6.07
-355	6.07
-356	6.07
-357	6.07
-358	6.07
-359	6.07
-360	6.07
-361	6.07
-362	6.07
-363	6.07
-364	6.07
-365	6.07
-366	6.07
-367	6.07
-368	6.07
-369	6.07
-370	6.07
-371	6.07
-372	6.07
-373	6.07
-374	6.07
-375	6.07
-376	6.07
-377	6.07
-378	6.06
-379	6.06
-380	6.07
-381	6.07
-382	6.07
-383	6.07
-384	6.06
-385	6.06
-386	6.06
-387	6.06
-388	6.06
-389	6.06
-390	6.06
-391	6.06
-392	6.06
-393	6.06
-394	6.06
-395	6.06
-396	6.06
-397	6.06
-398	6.06
-399	6.06
-400	6.06
-401	6.06
-402	6.06
-403	6.06
-404	6.06
-405	6.06
-406	6.06
-407	6.05
-408	6.05
-409	6.05
-410	6.05
-411	6.05
-412	6.05
-413	6.05
-414	6.05
-415	6.05
-416	6.05
-417	6.05
-418	6.05
-419	6.05
-420	6.05
-421	6.05
-422	6.05
-423	6.05
-424	6.05
-425	6.05
-426	6.05
-427	6.05
-428	6.05
-429	6.05
-430	6.05
-431	6.05
-432	6.05
-433	6.05
-434	6.05
-435	6.05
-436	6.05
-437	6.05
-438	6.05
-439	6.05
-440	6.05
-441	6.05
-442	6.05
-443	6.05
-444	6.05
-445	6.05
-446	6.05
-447	6.05
-448	6.05
-449	6.05
-450	6.05
-451	6.05
-452	6.05
-453	6.05
-454	6.05
-455	6.05
-456	6.05
-457	6.05
-458	6.05
-459	6.05
-460	6.05
-461	6.05
-462	6.05
-463	6.05
-464	6.05
-465	6.05
-466	6.05
-467	6.05
-468	6.04
-469	6.04
-470	6.04
-471	6.05
-472	6.04
-473	6.04
-474	6.04
-475	6.04
-476	6.04
