Depth	
0	1.00E-05
-0.5	1.00E-05
-1	1.00E-05
-1.5	1.00E-05
-2	1.00E-05
-2.5	1.00E-05
-3	1.00E-05
-3.5	1.00E-05
-4	1.00E-05
-4.5	1.00E-05
-5	1.00E-05
-5.5	1.00E-05
-6	1.00E-05
-6.5	1.00E-05
-7	1.00E-05
-7.5	1.00E-05
-8	1.00E-05
-8.5	1.00E-05
-9	1.00E-05
-9.5	1.00E-05
-10	1.00E-05
-10.5	1.00E-05
-11	1.00E-05
-11.5	1.00E-05
-12	1.00E-05
-12.5	1.00E-05
-13	1.00E-05
-13.5	1.00E-05
-14	1.00E-05
-14.5	1.00E-05
-15	1.00E-05
-15.5	1.00E-05
-16	1.00E-05
-16.5	1.00E-05
-17	1.00E-05
-17.5	1.00E-05
-18	1.00E-05
-18.5	1.00E-05
-19	1.00E-05
-19.5	1.00E-05
-20	1.00E-05
-20.5	1.00E-05
-21	1.00E-05
-21.5	1.00E-05
-22	1.00E-05
-22.5	1.00E-05
-23	1.00E-05
-23.5	1.00E-05
-24	1.00E-05
-24.5	1.00E-05
-25	1.00E-05
-25.5	1.00E-05
-26	1.00E-05
-26.5	1.00E-05
-27	1.00E-05
-27.5	1.00E-05
-28	1.00E-05
-28.5	1.00E-05
-29	1.00E-05
-29.5	1.00E-05
-30	1.00E-05
-30.5	1.00E-05
-31	1.00E-05
-31.5	1.00E-05
-32	1.00E-05
-32.5	1.00E-05
-33	1.00E-05
-33.5	1.00E-05
-34	1.00E-05
-34.5	1.00E-05
-35	1.00E-05
-35.5	1.00E-05
-36	1.00E-05
-36.5	1.00E-05
-37	1.00E-05
-37.5	1.00E-05
-38	1.00E-05
-38.5	1.00E-05
-39	1.00E-05
-39.5	1.00E-05
-40	1.00E-05
-40.5	1.00E-05
-41	1.00E-05
-41.5	1.00E-05
-42	1.00E-05
-42.5	1.00E-05
-43	1.00E-05
-43.5	1.00E-05
-44	1.00E-05
-44.5	1.00E-05
-45	1.00E-05
-45.5	1.00E-05
-46	1.00E-05
-46.5	1.00E-05
-47	1.00E-05
-47.5	1.00E-05
-48	1.00E-05
-48.5	1.00E-05
-49	1.00E-05
-49.5	1.00E-05
-50	1.00E-05
-50.5	1.00E-05
-51	1.00E-05
-51.5	1.00E-05
-52	1.00E-05
-52.5	1.00E-05
-53	1.00E-05
-53.5	1.00E-05
-54	1.00E-05
-54.5	1.00E-05
-55	1.00E-05
-55.5	1.00E-05
-56	1.00E-05
-56.5	1.00E-05
-57	1.00E-05
-57.5	1.00E-05
-58	1.00E-05
-58.5	1.00E-05
-59	1.00E-05
-59.5	1.00E-05
-60	1.00E-05
-60.5	1.00E-05
-61	1.00E-05
-61.5	1.00E-05
-62	1.00E-05
-62.5	1.00E-05
-63	1.00E-05
-63.5	1.00E-05
-64	1.00E-05
-64.5	1.00E-05
-65	1.00E-05
-65.5	1.00E-05
-66	1.00E-05
-66.5	1.00E-05
-67	1.00E-05
-67.5	1.00E-05
-68	1.00E-05
-68.5	1.00E-05
-69	1.00E-05
-69.5	1.00E-05
-70	1.00E-05
-70.5	1.00E-05
-71	1.00E-05
-71.5	1.00E-05
-72	1.00E-05
-72.5	1.00E-05
-73	1.00E-05
-73.5	1.00E-05
-74	1.00E-05
-74.5	1.00E-05
-75	1.00E-05
-75.5	1.00E-05
-76	1.00E-05
-76.5	1.00E-05
-77	1.00E-05
-77.5	1.00E-05
-78	1.00E-05
-78.5	1.00E-05
-79	1.00E-05
-79.5	1.00E-05
-80	1.00E-05
-80.5	1.00E-05
-81	1.00E-05
-81.5	1.00E-05
-82	1.00E-05
-82.5	1.00E-05
-83	1.00E-05
-83.5	1.00E-05
-84	1.00E-05
-84.5	1.00E-05
-85	1.00E-05
-85.5	1.00E-05
-86	1.00E-05
-86.5	1.00E-05
-87	1.00E-05
-87.5	1.00E-05
-88	1.00E-05
-88.5	1.00E-05
-89	1.00E-05
-89.5	1.00E-05
-90	1.00E-05
-90.5	1.00E-05
-91	1.00E-05
-91.5	1.00E-05
-92	1.00E-05
-92.5	1.00E-05
-93	1.00E-05
-93.5	1.00E-05
-94	1.00E-05
-94.5	1.00E-05
-95	1.00E-05
-95.5	1.00E-05
-96	1.00E-05
-96.5	1.00E-05
-97	1.00E-05
-97.5	1.00E-05
-98	1.00E-05
-98.5	1.00E-05
-99	1.00E-05
-99.5	1.00E-05
-100	1.00E-05
-100.5	1.00E-05
-101	1.00E-05
-101.5	1.00E-05
-102	1.00E-05
-102.5	1.00E-05
-103	1.00E-05
-103.5	1.00E-05
-104	1.00E-05
-104.5	1.00E-05
-105	1.00E-05
-105.5	1.00E-05
-106	1.00E-05
-106.5	1.00E-05
-107	1.00E-05
-107.5	1.00E-05
-108	1.00E-05
-108.5	1.00E-05
-109	1.00E-05
-109.5	1.00E-05
-110	1.00E-05
-110.5	1.00E-05
-111	1.00E-05
-111.5	1.00E-05
-112	1.00E-05
-112.5	1.00E-05
-113	1.00E-05
-113.5	1.00E-05
-114	1.00E-05
-114.5	1.00E-05
-115	1.00E-05
-115.5	1.00E-05
-116	1.00E-05
-116.5	1.00E-05
-117	1.00E-05
-117.5	1.00E-05
-118	1.00E-05
-118.5	1.00E-05
-119	1.00E-05
-119.5	1.00E-05
-120	1.00E-05
-120.5	1.00E-05
-121	1.00E-05
-121.5	1.00E-05
-122	1.00E-05
-122.5	1.00E-05
-123	1.00E-05
-123.5	1.00E-05
-124	1.00E-05
-124.5	1.00E-05
-125	1.00E-05
-125.5	1.00E-05
-126	1.00E-05
-126.5	1.00E-05
-127	1.00E-05
-127.5	1.00E-05
-128	1.00E-05
-128.5	1.00E-05
-129	1.00E-05
-129.5	1.00E-05
-130	1.00E-05
-130.5	1.00E-05
-131	1.00E-05
-131.5	1.00E-05
-132	1.00E-05
-132.5	1.00E-05
-133	1.00E-05
-133.5	1.00E-05
-134	1.00E-05
-134.5	1.00E-05
-135	1.00E-05
-135.5	1.00E-05
-136	1.00E-05
-136.5	1.00E-05
-137	1.00E-05
-137.5	1.00E-05
-138	1.00E-05
-138.5	1.00E-05
-139	1.00E-05
-139.5	1.00E-05
-140	1.00E-05
-140.5	1.00E-05
-141	1.00E-05
-141.5	1.00E-05
-142	1.00E-05
-142.5	1.00E-05
-143	1.00E-05
-143.5	1.00E-05
-144	1.00E-05
-144.5	1.00E-05
-145	1.00E-05
-145.5	1.00E-05
-146	1.00E-05
-146.5	1.00E-05
-147	1.00E-05
-147.5	1.00E-05
-148	1.00E-05
-148.5	1.00E-05
-149	1.00E-05
-149.5	1.00E-05
-150	1.00E-05
-150.5	1.00E-05
-151	1.00E-05
-151.5	1.00E-05
-152	1.00E-05
-152.5	1.00E-05
-153	1.00E-05
-153.5	1.00E-05
-154	1.00E-05
-154.5	1.00E-05
-155	1.00E-05
-155.5	1.00E-05
-156	1.00E-05
-156.5	1.00E-05
-157	1.00E-05
-157.5	1.00E-05
-158	1.00E-05
-158.5	1.00E-05
-159	1.00E-05
-159.5	1.00E-05
-160	1.00E-05
-160.5	1.00E-05
-161	1.00E-05
-161.5	1.00E-05
-162	1.00E-05
