depth	NH4 [mmol/m3]
0		0.185125943
-50		1.828223529
-60		18.10477541
-70		120.0604931
-80		255.7942699
-90		468.1722501
-100	569.6677246
-110	749.9392887
-120	730.0860579
-130	859.4810161
-140	832.0417351
-150	885.9297041
-160	827.2780187
-180	951.0878551
-200	1251.401138
-220	1340.924247
-240	1339.689587
-250	1413.065439
-260	2796.354299
-270	3324.682561
-280	3464.491197
-300	3540.393131
-320	3792.243375
-340	3994.637843
-360	4159.231827
-380	3998.690638
-420	4046.495787
-440	4259.092423
-485	4000
